features,split,repeat,fold,auc,n_test
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,1,5,0.6917259786476868,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,1,6,0.7508737925775293,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,1,7,0.7717578259373925,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,1,8,0.7335115864527629,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,1,9,0.7605622791381306,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,1,pooled,0.7530587237072868,6181
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,2,0,0.6864581382281326,619
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,2,1,0.7197667768174885,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,2,2,0.7659824605998984,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,2,3,0.7164781392984241,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,2,4,0.7459964412811388,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,2,5,0.7613116420945603,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,2,6,0.7380210981189629,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,2,7,0.7321043249835819,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,2,8,0.7303217937892861,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,2,9,0.7275698158051099,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,2,pooled,0.7319360111212543,6181
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,3,0,0.74492726478117,619
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,3,1,0.8044769954245043,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,3,2,0.7146828927300457,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,3,3,0.7643301982714794,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,3,4,0.7329848754448398,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,3,5,0.7286794611082867,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,3,6,0.7290925266903915,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,3,7,0.7234574850673923,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,3,8,0.711980485974294,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,3,9,0.7680989461175219,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,3,pooled,0.7422562837990547,6181
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,4,0,0.7085752637822313,619
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,4,1,0.7609462379257753,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,4,2,0.7182257244534824,618
39項目から追跡中のケガの記録を除く,行をランダムに10分割（論文と同じ）,4,3,0.7824097610574479,618
